#id                           h_15m                      ech         v
alta            2015-01-01T11:00:00      2015-01-01T09:00:00   200.000
alta            2015-01-01T11:00:00      2015-01-01T10:00:00   200.000
alta            2015-01-01T11:00:00      2015-01-01T11:00:00   200.000
park_city       2015-01-01T11:00:00      2015-01-01T09:00:00   421.000
park_city       2015-01-01T11:00:00      2015-01-01T10:00:00   421.000
park_city       2015-01-01T11:00:00      2015-01-01T11:00:00   421.000
wind_1          2015-01-01T11:00:00      2015-01-01T09:00:00    40.000
wind_1          2015-01-01T11:00:00      2015-01-01T10:00:00    40.000
wind_1          2015-01-01T11:00:00      2015-01-01T11:00:00    40.000
wind_2          2015-01-01T11:00:00      2015-01-01T09:00:00    18.000
wind_2          2015-01-01T11:00:00      2015-01-01T10:00:00    18.000
wind_2          2015-01-01T11:00:00      2015-01-01T11:00:00    18.000
