#Generators (PJM_5nodes/InitialState)
#"variant" "num" "bus" "con. bus" "substation" "minP (MW)" "maxP (MW)" "minQmaxP (MVar)" "minQ0 (MVar)" "minQminP (MVar)" "maxQmaxP (MVar)" "maxQ0 (MVar)" "maxQminP (MVar)" "v regul." "targetV (pu)" "targetP (MW)" "targetQ (MVar)" "fault" "curative" "id" "description" "P (MW)" "Q (MVar)"
1 1 1 1 1 0.00000 110.000 -200.000 -200.000 -200.000 200.000 200.000 200.000 true 1.00000 110.000 2.35231 0 0 "alta" "alta" -110.000 -99999.0
1 2 1 1 1 0.00000 100.000 -200.000 -200.000 -200.000 200.000 200.000 200.000 true 1.00000 100.000 2.35231 0 0 "park_city" "park_city" -100.000 -99999.0
1 3 1 1 1 0.00000 50.0000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 false 1.00000 40.0000 0.00000 0 0 "wind_1" "wind_1" -40.0000 -0.00000
1 4 2 2 2 0.00000 520.000 -200.000 -200.000 -200.000 200.000 200.000 200.000 true 1.00000 110.000 2.35231 0 0 "solitude" "solitude" -110.000 -99999.0
1 5 2 2 2 0.00000 80.0000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 false 1.00000 20.0000 0.00000 0 0 "wind_3" "wind_3" -20.0000 -0.00000
1 6 3 3 3 0.00000 20.0000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 false 1.00000 18.0000 0.00000 0 0 "wind_2" "wind_2" -18.0000 -0.00000
1 7 4 4 4 0.00000 200.000 -200.000 -200.000 -200.000 200.000 200.000 200.000 true 1.00000 0.00000 2.35231 0 0 "sundance" "sundance" 0.00000 -99999.0
1 8 4 4 4 0.00000 100.000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 false 1.00000 70.0000 0.00000 0 0 "wind_4" "wind_4" -70.0000 -0.00000
1 9 5 5 5 0.00000 600.000 -200.000 -200.000 -200.000 200.000 200.000 200.000 true 1.00000 600.000 2.35231 0 0 "brighton" "brighton" -600.000 -99999.0
1 10 5 5 5 0.00000 10.0000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 false 1.00000 8.00000 0.00000 0 0 "wind_5" "wind_5" -8.00000 -0.00000
