#id         scenario         v
wind_1            S1    41.472
wind_1            S2    37.361
wind_1            S3    37.192
wind_1            S4    44.678
wind_1            S5    40.703
wind_1            S6    33.857
wind_1            S7    28.461
wind_1            S8    47.652
wind_1            S9    39.518
wind_1           S10    40.673
wind_2            S1    20.000
wind_2            S2    20.000
wind_2            S3    20.000
wind_2            S4    20.000
wind_2            S5    19.485
wind_2            S6    20.000
wind_2            S7    20.000
wind_2            S8    20.000
wind_2            S9    20.000
wind_2           S10    14.279
wind_3            S1    13.015
wind_3            S2    23.638
wind_3            S3    13.694
wind_3            S4    16.205
wind_3            S5    23.646
wind_3            S6    31.670
wind_3            S7    21.324
wind_3            S8     4.385
wind_3            S9    18.937
wind_3           S10    23.550
wind_4            S1    93.138
wind_4            S2    72.006
wind_4            S3    80.997
wind_4            S4    86.787
wind_4            S5    77.094
wind_4            S6    77.508
wind_4            S7    96.973
wind_4            S8    87.906
wind_4            S9    78.479
wind_4           S10   100.000
wind_5            S1     9.342
wind_5            S2     7.848
wind_5            S3     8.723
wind_5            S4    10.000
wind_5            S5     7.181
wind_5            S6    10.000
wind_5            S7    10.000
wind_5            S8     9.313
wind_5            S9     9.076
wind_5           S10     8.284
