#name              p      minP      maxP     start      prop
alta         110.000     0.000   110.000    10.000     1.000
park_city    100.000     0.000   100.000    10.000     1.000
wind_1         0.000     0.000    50.000     0.000     0.000
solitude     110.000     0.000   520.000    10.000     1.000
wind_3         0.000     0.000    80.000     0.000     0.000
wind_2         0.000     0.000    20.000     0.000     0.000
sundance       0.000     0.000   200.000    10.000     1.000
wind_4         0.000     0.000   100.000     0.000     0.000
brighton     600.000     0.000   600.000    10.000     1.000
wind_5         0.000     0.000    10.000     0.000     0.000
