name;cat_value_pf_fc;sigma;mean
wind_1;0;0,214115037;-0,178910791
wind_1;0,1;0,049441764;-0,004047195
wind_1;0,2;0,090415584;-0,008245117
wind_1;0,3;0,111190772;0,006725745
wind_1;0,4;0,124598377;0,014524034
wind_1;0,5;0,142993193;0,025801692
wind_1;0,6;0,141699852;0,031081732
wind_1;0,7;0,127364437;0,020037144
wind_1;0,8;0,099051167;0,008521094
wind_1;0,9;0,077532894;-0,017909975
wind_1;1;0,077532894;-0,017909975
wind_2;0;0,231399091;-0,573890775
wind_2;0,1;0,080709961;0,006248419
wind_2;0,2;0,106627219;0,002944518
wind_2;0,3;0,119758959;0,027569333
wind_2;0,4;0,135921598;0,061790871
wind_2;0,5;0,154887869;0,070294054
wind_2;0,6;0,141404489;0,133008874
wind_2;0,7;0,139630215;0,191534141
wind_2;0,8;0,162087718;0,191182577
wind_2;0,9;0,141659565;0,148656133
wind_2;1;0,113540837;0,151405031
wind_3;0;0,019872392;-0,022346579
wind_3;0,1;0,040430485;0,004455376
wind_3;0,2;0,079220436;0,012278595
wind_3;0,3;0,096490971;0,032299053
wind_3;0,4;0,130814733;0,028726706
wind_3;0,5;0,145176231;0,042669928
wind_3;0,6;0,13614379;0,041662355
wind_3;0,7;0,148437096;0,011943446
wind_3;0,8;0,11421473;0,025301865
wind_3;0,9;0,066702772;0,007223575
wind_4;0;0,067362245;-0,057122971
wind_4;0,1;0,089920974;-0,027643131
wind_4;0,2;0,125328636;-0,013402277
wind_4;0,3;0,12960871;0,016546471
wind_4;0,4;0,153458754;0,0424572
wind_4;0,5;0,15073625;0,075563741
wind_4;0,6;0,175298378;0,092400853
wind_4;0,7;0,164505106;0,155182805
wind_4;0,8;0,168424137;0,163193035
wind_4;0,9;0,160154284;0,227364801
wind_4;1;0,146602686;0,204498893
wind_5;0;0,106861492;-0,06540536
wind_5;0,1;0,083267596;-0,034184827
wind_5;0,2;0,127293204;-0,009335813
wind_5;0,3;0,148988551;0,019746594
wind_5;0,4;0,17069603;0,048816697
wind_5;0,5;0,199645179;0,067843996
wind_5;0,6;0,17727604;0,084340329
wind_5;0,7;0,195008461;0,098421884
wind_5;0,8;0,170840122;0,157053953
wind_5;0,9;0,145766884;0,125564374
wind_5;1;0,105965959;0,112464844
