#Tap changer table (blocaux_20200925_1445_reduite/InitialState)
#"variant" "num" "tap" "var ratio" "x (pu)" "angle (rad)" "fault" "curative"
1 1 1 1.00066 -0.00554017 0.00000 0 0
1 1 2 0.957240 -0.00554017 0.00000 0 0
1 1 3 0.917760 -0.00554017 0.00000 0 0
1 2 1 1.00066 -0.00644044 0.00000 0 0
1 2 2 0.957240 -0.00644044 0.00000 0 0
1 2 3 0.917760 -0.00644044 0.00000 0 0
1 3 1 1.00000 0.0328255 0.00000 0 0
1 4 1 1.00000 0.0324792 0.00000 0 0
1 5 1 1.05600 0.112593 0.00000 0 0
1 5 2 1.04674 0.112593 0.00000 0 0
1 5 3 1.03748 0.112593 0.00000 0 0
1 5 4 1.02822 0.112593 0.00000 0 0
1 5 5 1.01896 0.112593 0.00000 0 0
1 5 6 1.00969 0.112593 0.00000 0 0
1 5 7 1.00043 0.112593 0.00000 0 0
1 5 8 0.991170 0.112593 0.00000 0 0
1 5 9 0.981910 0.112593 0.00000 0 0
1 5 10 0.972650 0.112593 0.00000 0 0
1 5 11 0.963390 0.112593 0.00000 0 0
1 5 12 0.954130 0.112593 0.00000 0 0
1 5 13 0.944870 0.112593 0.00000 0 0
1 5 14 0.935610 0.112593 0.00000 0 0
1 5 15 0.926340 0.112593 0.00000 0 0
1 5 16 0.917080 0.112593 0.00000 0 0
1 5 17 0.907940 0.112593 0.00000 0 0
1 5 18 0.898810 0.112593 0.00000 0 0
1 5 19 0.889670 0.112593 0.00000 0 0
1 5 20 0.880530 0.112593 0.00000 0 0
1 5 21 0.871390 0.112593 0.00000 0 0
1 5 22 0.862250 0.112593 0.00000 0 0
1 5 23 0.853110 0.112593 0.00000 0 0
1 5 24 0.843970 0.112593 0.00000 0 0
1 5 25 0.834830 0.112593 0.00000 0 0
1 5 26 0.825690 0.112593 0.00000 0 0
1 5 27 0.816560 0.112593 0.00000 0 0
1 5 28 0.807420 0.112593 0.00000 0 0
1 5 29 0.798280 0.112593 0.00000 0 0
1 5 30 0.789140 0.112593 0.00000 0 0
1 5 31 0.780000 0.112593 0.00000 0 0
1 6 1 1.07526 0.160111 0.00000 0 0
1 6 2 1.06559 0.160111 0.00000 0 0
1 6 3 1.05592 0.160111 0.00000 0 0
1 6 4 1.04625 0.160111 0.00000 0 0
1 6 5 1.03658 0.160111 0.00000 0 0
1 6 6 1.02691 0.160111 0.00000 0 0
1 6 7 1.01724 0.160111 0.00000 0 0
1 6 8 1.00757 0.160111 0.00000 0 0
1 6 9 0.997890 0.160111 0.00000 0 0
1 6 10 0.988220 0.160111 0.00000 0 0
1 6 11 0.978550 0.160111 0.00000 0 0
1 6 12 0.968880 0.160111 0.00000 0 0
1 6 13 0.959210 0.160111 0.00000 0 0
1 6 14 0.949540 0.160111 0.00000 0 0
1 6 15 0.939870 0.160111 0.00000 0 0
1 6 16 0.930200 0.160111 0.00000 0 0
1 6 17 0.920530 0.160111 0.00000 0 0
1 6 18 0.910860 0.160111 0.00000 0 0
1 6 19 0.901180 0.160111 0.00000 0 0
1 6 20 0.891510 0.160111 0.00000 0 0
1 6 21 0.881840 0.160111 0.00000 0 0
1 6 22 0.872170 0.160111 0.00000 0 0
1 6 23 0.862500 0.160111 0.00000 0 0
1 6 24 0.852830 0.160111 0.00000 0 0
1 6 25 0.843160 0.160111 0.00000 0 0
1 7 1 1.07526 0.160319 0.00000 0 0
1 7 2 1.06559 0.160319 0.00000 0 0
1 7 3 1.05592 0.160319 0.00000 0 0
1 7 4 1.04625 0.160319 0.00000 0 0
1 7 5 1.03658 0.160319 0.00000 0 0
1 7 6 1.02691 0.160319 0.00000 0 0
1 7 7 1.01724 0.160319 0.00000 0 0
1 7 8 1.00757 0.160319 0.00000 0 0
1 7 9 0.997890 0.160319 0.00000 0 0
1 7 10 0.988220 0.160319 0.00000 0 0
1 7 11 0.978550 0.160319 0.00000 0 0
1 7 12 0.968880 0.160319 0.00000 0 0
1 7 13 0.959210 0.160319 0.00000 0 0
1 7 14 0.949540 0.160319 0.00000 0 0
1 7 15 0.939870 0.160319 0.00000 0 0
1 7 16 0.930200 0.160319 0.00000 0 0
1 7 17 0.920530 0.160319 0.00000 0 0
1 7 18 0.910860 0.160319 0.00000 0 0
1 7 19 0.901180 0.160319 0.00000 0 0
1 7 20 0.891510 0.160319 0.00000 0 0
1 7 21 0.881840 0.160319 0.00000 0 0
1 7 22 0.872170 0.160319 0.00000 0 0
1 7 23 0.862500 0.160319 0.00000 0 0
1 7 24 0.852830 0.160319 0.00000 0 0
1 7 25 0.843160 0.160319 0.00000 0 0
1 8 1 1.00066 -0.0110803 0.00000 0 0
1 8 2 0.957240 -0.0110803 0.00000 0 0
1 8 3 0.917760 -0.0110803 0.00000 0 0
1 9 1 1.00066 -0.00803324 0.00000 0 0
1 9 2 0.957240 -0.00803324 0.00000 0 0
1 9 3 0.917760 -0.00803324 0.00000 0 0
1 10 1 1.00000 0.0381579 0.00000 0 0
1 11 1 1.00000 0.0352493 0.00000 0 0
1 12 1 1.00000 -0.00450139 0.00000 0 0
1 12 2 0.956000 -0.00450139 0.00000 0 0
1 12 3 0.913000 -0.00450139 0.00000 0 0
1 13 1 1.00000 -0.00644044 0.00000 0 0
1 13 2 0.956000 -0.00644044 0.00000 0 0
1 13 3 0.913000 -0.00644044 0.00000 0 0
1 14 1 1.00000 0.0292936 0.00000 0 0
1 15 1 1.00000 0.0315097 0.00000 0 0
1 16 1 1.00600 -0.00512465 0.00000 0 0
