#id                           h_15m                      ech         v
fuel_1          2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
gas_1           2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
wind_1          2015-01-01T11:00:00      2015-01-01T11:00:00     100.000
fuel_3          2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
wind_3          2015-01-01T11:00:00      2015-01-01T11:00:00     100.000
wind_2          2015-01-01T11:00:00      2015-01-01T11:00:00     100.000
fuel_4          2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
wind_4          2015-01-01T11:00:00      2015-01-01T11:00:00     100.000
fuel_5          2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
wind_5          2015-01-01T11:00:00      2015-01-01T11:00:00     100.000
