#id                           h_15m                      ech  scenario         v
wind_1          2015-01-01T11:00:00      2015-01-01T11:00:00        S1   100.000
wind_2          2015-01-01T11:00:00      2015-01-01T11:00:00        S1   100.000
wind_3          2015-01-01T11:00:00      2015-01-01T11:00:00        S1   100.000
wind_4          2015-01-01T11:00:00      2015-01-01T11:00:00        S1   100.000
wind_5          2015-01-01T11:00:00      2015-01-01T11:00:00        S1   100.000
fuel_1          2015-01-01T11:00:00      2015-01-01T11:00:00        S1     0.000
gas_1           2015-01-01T11:00:00      2015-01-01T11:00:00        S1     0.000
fuel_3          2015-01-01T11:00:00      2015-01-01T11:00:00        S1     0.000
fuel_4          2015-01-01T11:00:00      2015-01-01T11:00:00        S1     0.000
fuel_5          2015-01-01T11:00:00      2015-01-01T11:00:00        S1     0.000
5               2015-01-01T11:00:00      2015-01-01T11:00:00        S1     0.000
4               2015-01-01T11:00:00      2015-01-01T11:00:00        S1   410.000
3               2015-01-01T11:00:00      2015-01-01T11:00:00        S1   100.000
2               2015-01-01T11:00:00      2015-01-01T11:00:00        S1     0.000
1               2015-01-01T11:00:00      2015-01-01T11:00:00        S1     0.000
