#id                           h_15m                      ech  scenario         v
wind_1          2015-01-01T11:00:00      2015-01-01T09:00:00        S1    51.000
alta            2015-01-01T11:00:00      2015-01-01T09:00:00        S1    29.000
sundance        2015-01-01T11:00:00      2015-01-01T09:00:00        S1     0.000
moonwalk        2015-01-01T11:00:00      2015-01-01T09:00:00        S1    25.000
poste_2_0       2015-01-01T11:00:00      2015-01-01T09:00:00        S1   105.000
poste_1_0       2015-01-01T11:00:00      2015-01-01T09:00:00        S1     0.000
wind_1          2015-01-01T11:00:00      2015-01-01T09:00:00        S2    53.000
alta            2015-01-01T11:00:00      2015-01-01T09:00:00        S2    30.000
sundance        2015-01-01T11:00:00      2015-01-01T09:00:00        S2     0.000
moonwalk        2015-01-01T11:00:00      2015-01-01T09:00:00        S2    25.000
poste_2_0       2015-01-01T11:00:00      2015-01-01T09:00:00        S2   105.000
poste_1_0       2015-01-01T11:00:00      2015-01-01T09:00:00        S2     0.000
