#id                           h_15m                      ech         v
alta            2015-01-01T11:00:00      2015-01-01T09:00:00     0.000
alta            2015-01-01T11:00:00      2015-01-01T10:00:00     0.000
alta            2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
park_city       2015-01-01T11:00:00      2015-01-01T09:00:00     0.000
park_city       2015-01-01T11:00:00      2015-01-01T10:00:00     0.000
park_city       2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
wind_1          2015-01-01T11:00:00      2015-01-01T09:00:00     0.000
wind_1          2015-01-01T11:00:00      2015-01-01T10:00:00     0.000
wind_1          2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
solitude        2015-01-01T11:00:00      2015-01-01T09:00:00     0.000
solitude        2015-01-01T11:00:00      2015-01-01T10:00:00     0.000
solitude        2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
wind_3          2015-01-01T11:00:00      2015-01-01T09:00:00     0.000
wind_3          2015-01-01T11:00:00      2015-01-01T10:00:00     0.000
wind_3          2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
wind_2          2015-01-01T11:00:00      2015-01-01T09:00:00     0.000
wind_2          2015-01-01T11:00:00      2015-01-01T10:00:00     0.000
wind_2          2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
sundance        2015-01-01T11:00:00      2015-01-01T09:00:00     0.000
sundance        2015-01-01T11:00:00      2015-01-01T10:00:00     0.000
sundance        2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
wind_4          2015-01-01T11:00:00      2015-01-01T09:00:00     0.000
wind_4          2015-01-01T11:00:00      2015-01-01T10:00:00     0.000
wind_4          2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
brighton        2015-01-01T11:00:00      2015-01-01T09:00:00     0.000
brighton        2015-01-01T11:00:00      2015-01-01T10:00:00     0.000
brighton        2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
wind_5          2015-01-01T11:00:00      2015-01-01T09:00:00     0.000
wind_5          2015-01-01T11:00:00      2015-01-01T10:00:00     0.000
wind_5          2015-01-01T11:00:00      2015-01-01T11:00:00     0.000
