#branch_name branch_num bus_from bus_to r(pu)       x(pu)
1 1 1 2 3e-05 0.0008
2 2 1 2 3e-05 0.0008
3 3 1 3 -0.009 -0.1718
4 4 1 4 -0.009 -0.1718
5 5 1 5 -0.0089 -0.1697
6 6 1 6 0.00194 0.0209
7 7 1 33 0.0001 0.006
8 8 1 93 0.0002 0.0138
9 9 1 93 0.0002 0.0138
10 10 2 6 0.00194 0.0209
11 11 2 113 0 0.0148
12 12 2 114 0.00018 0.0145
13 13 3 33 0.0002 0.0221
14 14 4 33 0.0002 0.0221
15 15 5 33 0.0002 0.0219
16 16 6 7 0.00129 0.0139
17 17 6 9 0.00016 0.0017
18 18 6 10 0.00016 0.0017
19 19 6 12 0.0002 0.0021
20 20 6 12 0.0002 0.0021
21 21 7 8 -0.0112 -0.1516
22 22 7 66 0.00015 0.0097
23 23 7 104 0.00036 0.019
24 24 7 104 0.00041 0.0174
25 25 8 66 0.0002 0.0299
26 26 8 66 0.0002 0.0221
27 27 9 11 -0.0217 -0.3062
28 28 9 69 0.0004 0.0188
29 29 10 32 -0.027 -0.3041
30 30 10 69 0.0004 0.0187
31 31 11 69 0.0002 0.0262
32 32 12 13 -0.0223 -0.3099
33 33 12 13 -0.0237 -0.316
34 34 12 13 -0.0237 -0.316
35 35 12 14 0.00096 0.0091
36 36 12 14 0.00096 0.0091
37 37 12 25 0.00051 0.0055
38 38 12 25 0.00051 0.0055
39 39 12 72 0.0003 0.0189
40 40 12 72 0.0003 0.019
41 41 12 72 0.0003 0.019
42 42 13 72 0.0002 0.026
43 43 13 72 0.0003 0.0262
44 44 13 72 0.0002 0.026
45 45 14 15 -0.0415 -0.3996
46 46 14 16 -0.01 -0.1669
47 47 14 17 0.00339 0.0367
48 48 14 17 0.00352 0.0367
49 49 14 58 0.0002 0.0097
50 50 15 58 0.0002 0.0255
51 51 16 58 0.0002 0.022
52 52 17 18 -0.3181 -1.315
53 53 17 19 0 -0.847
54 54 17 20 0 -0.8676
55 55 17 21 -0.0095 -0.1615
56 56 17 22 0.00228 0.0276
57 57 17 59 0.0001 0.0071
58 58 18 59 0.0002 0.0298
59 59 19 59 0 0.0629
60 60 20 59 0 0.0638
61 61 21 59 0.0002 0.0329
62 62 22 23 0 -0.3787
63 63 22 24 0.00173 0.0208
64 64 22 30 0 -0.3066
65 65 22 78 0 0.0268
66 66 22 83 0 0.0349
67 67 23 83 0.0004 0.0595
68 68 23 83 0.0003 0.0597
69 69 24 76 0.0002 0.0088
70 70 24 77 -0.0023 -0.0603
71 71 25 26 -0.006 -0.1375
72 72 25 27 0.0023 0.0266
73 73 25 27 0.0023 0.0266
74 74 25 31 -0.0082 -0.1648
75 75 25 73 0.0003 0.0172
76 76 25 74 0.0004 0.0179
77 77 26 73 0.0003 0.0267
78 78 27 28 -0.1153 -0.7453
79 79 27 29 -0.0163 -0.2618
80 80 27 75 0.00016 0.01
81 81 28 75 0.0002 0.029
82 82 29 75 0.0002 0.0269
83 83 30 78 0 0.0335
84 84 31 74 0.0003 0.0279
85 85 32 69 0.0002 0.0265
86 86 33 34 6e-05 0.0009
87 87 33 35 6e-05 0.0009
88 88 33 37 0.00996 0.0707
89 89 33 38 0.00995 0.0693
90 90 33 39 0.0085 0.0699
91 91 33 40 0.00849 0.0698
92 92 33 49 0.0056 0.0493
93 93 33 50 0.0056 0.0493
94 94 33 110 0.00024 0.0157
95 95 33 110 0.00023 0.0156
96 96 34 36 0.00025 0.0022
97 97 36 99 0.0008 0.0455
98 98 37 87 0.00093 0.0442
99 99 37 88 0.0031 0.1651
100 100 38 88 0.0031 0.1638
101 101 39 43 0.00602 0.0495
102 102 39 84 0.00722 0.2786
103 103 40 44 0.00603 0.0496
104 104 40 84 0.00729 0.2756
105 105 41 42 0.0005 0.1514
106 106 41 43 1e-05 0.0009
107 107 42 44 1e-05 0.0009
108 108 43 46 0.00618 0.0508
109 109 44 45 0.00618 0.0508
110 110 45 61 0.00445 0.0366
111 111 45 85 0 0.26
112 112 46 61 0.00445 0.0366
113 113 46 85 0 0.2592
114 114 47 48 -0.01 0.2306
115 115 47 50 1e-05 0.0009
116 116 47 87 0.0831 0.401
117 117 48 49 1e-05 0.0009
118 118 48 87 0.0998 0.436
119 119 49 51 0.00898 0.079
120 120 50 51 0.00898 0.079
121 121 51 52 0.0029 0.0279
122 122 51 53 0.0029 0.0279
123 123 51 56 0.00759 0.0483
124 124 51 57 0.00759 0.0483
125 125 52 53 -0.0067 0.3911
126 126 52 54 0.0047 0.0293
127 127 53 55 0.0047 0.0293
128 128 54 55 -0.0553 0.9289
129 129 54 61 0.00141 0.0087
130 130 55 61 0.00141 0.0087
131 131 56 57 -0.009 0.3895
132 132 56 58 0.0019 0.012
133 133 57 58 0.0019 0.012
134 134 58 59 0.6674 2.2175
135 135 58 72 0.0302 0.2364
136 136 58 87 0.0863 0.3906
137 137 58 98 0.0131 0.1765
138 138 58 100 0.1193 1.269
139 139 58 103 0.8416 5.5383
140 140 59 60 -0.1803 5.9659
141 141 59 72 0.8613 3.0485
142 142 59 79 0.0099 0.2644
143 143 59 80 0.2876 2.3898
144 144 59 89 0.3421 9.0571
145 145 59 92 -0.007 0.5678
146 146 59 94 0.7041 5.9885
147 147 59 98 0.106 0.5845
148 148 59 100 0.0183 0.2016
149 149 59 103 0.0368 0.3341
150 150 59 107 0.0372 0.8834
151 151 60 135 -1.831 9.7964
152 152 60 79 -0.0375 1.1068
153 153 60 80 0.0655 2.6441
