#branch_name branch_num bus_from bus_to r(pu)       x(pu)
1 1 16 1 0.00155 0.01169
2 2 355 1 0.00157 0.06612
3 3 17 2 0.00155 0.01169
4 4 354 2 0.00157 0.06612
5 5 10 3 0.01068 0.07895
6 6 219 3 0.00165 0.06736
7 7 220 3 0.00165 0.06736
8 8 7 4 0.01674 0.09711
9 9 11 4 0.00293 0.01599
10 10 14 4 0.00442 0.03223
11 11 16 4 0.00888 0.06665
12 12 22 4 0.00783 0.043
13 13 245 4 0.00165 0.06901
14 14 246 4 0.00165 0.06901
15 15 5 6 0.00064 0.0305
16 16 7 5 0.00525 0.03988
17 17 10 5 0.01459 0.11219
18 18 309 5 0.00165 0.0686
19 19 309 5 0.00165 0.0686
20 20 6 8 0.00112 0.01329
21 21 6 9 0.00299 0.03675
22 22 15 6 0.00298 0.03417
23 23 31 6 0.0015 0.01506
24 24 310 6 0.0015 0.06188
25 25 12 7 0.01211 0.08742
26 26 13 7 0.00205 0.01326
27 27 19 7 0.0057 0.0407
28 28 21 7 0.00093 0.00651
29 29 29 7 0.01269 0.07498
30 30 321 7 0.00041 0.03368
31 31 322 7 0.00165 0.06775
32 32 8 18 0.00336 0.03977
33 33 332 9 0.00087 0.05244
34 34 171 10 0.01409 0.10413
35 35 346 10 0.00124 0.06839
36 36 347 10 0.00124 0.06839
37 37 16 11 0.0057 0.03952
38 38 17 11 0.0057 0.03952
39 39 111 11 0.01068 0.06196
40 40 352 11 0.00165 0.06901
41 41 353 11 0.00165 0.06901
42 42 140 12 0.01465 0.10589
43 43 359 12 0.00155 0.06612
44 44 360 12 0.00157 0.06612
45 45 29 13 0.01345 0.08114
46 46 365 13 0.00165 0.06901
47 47 366 13 0.00165 0.06901
48 48 17 14 0.00384 0.02853
49 49 367 14 0.00157 0.06798
50 50 368 14 0.00165 0.06901
51 51 18 15 0.00358 0.04262
52 52 15 165 0.00207 0.02474
53 53 374 15 0.0015 0.06188
54 54 16 18 0.00036 0.02519
55 55 16 73 0.00909 0.0624
56 56 17 18 0.00036 0.02519
57 57 17 74 0.00868 0.06405
58 58 20 18 0.00063 0.00749
59 59 75 18 0.00219 0.02369
60 60 18 76 0.00137 0.01625
61 61 18 101 0.00231 0.02769
62 62 124 19 0.01696 0.12366
63 63 425 19 0.00165 0.06818
64 64 67 20 0.00331 0.03425
65 65 447 20 0.00137 0.06119
66 66 448 20 0.00137 0.06119
67 67 502 21 0.00165 0.07107
68 68 112 22 0.00465 0.02618
69 69 526 22 0.00165 0.06901
70 70 527 22 0.00165 0.06901
71 71 37 23 0.01163 0.07031
72 72 46 23 0.00837 0.04868
73 73 53 23 0.01122 0.06558
74 74 540 23 0.0014 0.0668
75 75 54 24 0.00769 0.05727
76 76 545 24 0.00151 0.06715
77 77 41 25 0.00556 0.04145
78 78 53 25 0.00452 0.03368
79 79 54 25 0.00019 0.0014
80 80 564 25 0.00157 0.07808
81 81 38 26 0.00698 0.05196
82 82 568 26 0.00149 0.06616
83 83 28 27 0 0.0001
84 84 33 27 0.0024 0.01494
85 85 48 27 0.01213 0.06215
86 86 27 74 0.01116 0.07231
