#branch_name branch_num bus_from bus_to r(pu)       x(pu)
1 1 1 2 0.0026 0.0139
2 2 1 3 0.0546 0.2112
3 3 1 5 0.0218 0.0845
4 4 2 4 0.0328 0.1267
5 5 2 6 0.0497 0.192
6 6 3 9 0.0308 0.119
7 7 3 24 0.0023 0.0839
8 8 4 9 0.0268 0.1037
9 9 5 10 0.0228 0.0883
10 10 6 10 0.0139 0.0605
11 11 7 8 0.0159 0.0614
12 12 8 9 0.0427 0.1651
13 13 8 10 0.0427 0.1651
14 14 9 11 0.0023 0.0839
15 15 9 12 0.0023 0.0839
16 16 10 11 0.0023 0.0839
17 17 10 12 0.0023 0.0839
18 18 11 13 0.0061 0.0476
19 19 11 14 0.0054 0.0418
20 20 12 13 0.0061 0.0476
21 21 12 23 0.0124 0.0966
22 22 13 23 0.0111 0.0865
23 23 14 16 0.005 0.0389
24 24 15 16 0.0022 0.0173
25 25 15 21 0.0063 0.049
26 26 15 21 0.0063 0.049
27 27 15 24 0.0067 0.0519
28 28 16 17 0.0033 0.0259
29 29 16 19 0.003 0.0231
30 30 17 18 0.0018 0.0144
31 31 17 22 0.0135 0.1053
32 32 18 21 0.0033 0.0259
33 33 18 21 0.0033 0.0259
34 34 19 20 0.0051 0.0396
35 35 19 20 0.0051 0.0396
36 36 20 23 0.0028 0.0216
37 37 20 23 0.0028 0.0216
38 38 21 22 0.0087 0.0678
