#branch_name branch_num bus_from bus_to r(pu)       x(pu)
1 1 7 8 0.00064 0.0305
2 2 26 28 0.00036 0.02519
3 3 27 29 0.00036 0.02519
4 4 39 41 0.00034 0.02097
5 5 42 45 0.00034 0.02097
6 6 54 56 0.00081 0.03
7 7 89 91 0.00075 0.02444
8 8 90 92 0.00075 0.02469
9 9 124 127 0.0005 0.02875
10 10 148 149 0.00064 0.0305
11 11 154 156 0.000232 0.023
12 12 155 157 0.000232 0.023
13 13 168 170 0.00035 0.02375
14 14 182 183 0.00059 0.03093
15 15 189 191 0.0004 0.03
16 16 2726 156 0.00031 0.00338
17 17 2726 157 0.00031 0.00338
18 18 2727 67 0.014341 0.083531
19 19 2725 75 0.01219 0.070659
20 20 2725 104 0.011781 0.07087
21 21 126 2724 0.001525 0.016837
22 22 2728 147 0.001651 0.015909
23 23 2728 148 0.001651 0.015909
24 24 2729 47 0.00188 0.02287
25 25 2729 48 0.00188 0.02287
26 26 81 2723 0.002769 0.031162
27 27 42 23 0.01345 0.081141
28 28 26 89 0.009091 0.062401
29 29 27 90 0.00868 0.06405
30 30 145 30 0.016961 0.123659
31 31 134 33 0.00512 0.02618
32 32 133 20 0.01068 0.061961
33 33 163 21 0.014651 0.105891
34 34 40 108 0.01488 0.08161
35 35 39 90 0.011159 0.07231
36 36 177 82 0.005517 0.059484
37 37 202 164 0.01176 0.068289
38 38 193 164 0.016818 0.089091
39 39 192 163 0.013843 0.087025
40 40 206 166 0.01676 0.097169
41 41 42 10 0.01269 0.074979
42 42 197 18 0.014091 0.10413
43 43 99 54 0.003719 0.0438
44 44 161 81 0.00194 0.02056
45 45 44 9 0.0015 0.01506
46 46 184 149 0.00294 0.03463
47 47 120 56 0.00169 0.01994
48 48 29 92 0.00137 0.01625
49 49 28 122 0.00231 0.02769
50 50 25 191 0.00207 0.02474
51 51 119 63 0.0015 0.01788
52 52 121 63 0.00469 0.05544
53 53 81 31 0.00331 0.03425
54 54 91 28 0.00219 0.02369
55 55 12 4 0.01674 0.09711
56 56 30 11 0.0057 0.0407
57 57 24 4 0.004419 0.032229
58 58 17 7 0.014591 0.11219
59 59 21 10 0.01211 0.087419
60 60 26 5 0.009773 0.050516
61 61 17 3 0.01068 0.07895
62 62 26 19 0.0057 0.039521
63 63 27 20 0.0057 0.039521
64 64 13 6 0.00525 0.03988
65 65 13 12 2.1e-05 0.000207
66 66 32 13 0.00093 0.00651
67 67 23 11 0.00205 0.01326
68 68 33 5 0.007831 0.043
69 69 19 4 0.00293 0.01599
70 70 26 1 0.00155 0.01169
71 71 27 2 0.00155 0.01169
72 72 27 24 0.003841 0.028531
73 73 25 9 0.00298 0.03418
74 74 28 25 0.00358 0.04262
75 75 14 29 0.00336 0.03977
76 76 8 15 0.00299 0.03675
77 77 8 14 0.00112 0.01329
78 78 31 29 0.00075 0.009
79 79 62 58 0.010479 0.060969
80 80 60 55 0.00882 0.065641
81 81 66 34 0.011219 0.065581
82 82 50 34 0.01163 0.07031
83 83 58 42 0.00545 0.040211
84 84 59 43 0.00545 0.040211
85 85 59 34 0.00837 0.04868
86 86 67 51 0.003159 0.02076
87 87 51 38 0.006979 0.051961
88 88 36 55 0.00374 0.027831
89 89 37 35 0.00769 0.057271
90 90 54 37 0.00556 0.04145
91 91 66 36 0.004521 0.03368
92 92 66 65 0.00151 0.008781
93 93 61 42 0.00574 0.042831
94 94 62 43 0.00707 0.045409
95 95 61 39 0.01213 0.062151
96 96 60 40 0.002479 0.017979
97 97 46 39 0.002401 0.01494
98 98 49 45 0.00167 0.0189
99 99 57 53 0.00109 0.01277
100 100 41 57 0.002259 0.026439
101 101 63 57 0.00094 0.01097
102 102 47 64 0.00113 0.01406
103 103 52 44 0.00176 0.02144
104 104 95 124 0.004876 0.033616
105 105 74 105 0.01093 0.059194
106 106 105 93 0.001942 0.013926
107 107 78 84 0.004318 0.029752
108 108 130 129 0.000661 0.004959
109 109 106 130 0.005372 0.040393
110 110 90 130 0.000826 0.005248
111 111 99 118 0.015888 0.087603
112 112 80 112 0.002169 0.014587
113 113 115 100 0.017727 0.116777
114 114 125 73 0.00593 0.04093
115 115 107 89 0.003905 0.028471
116 116 117 78 0.008161 0.042417
117 117 118 77 0.008161 0.042417
118 118 78 75 0.005186 0.038388
119 119 77 72 0.002128 0.014029
120 120 113 77 0.004628 0.027748
121 121 102 71 0.011219 0.070744
122 122 109 116 0.006012 0.041467
123 123 90 68 0.002066 0.012789
124 124 85 89 0.001364 0.009731
125 125 128 86 0.000579 0.004112
126 126 131 75 0.000847 0.00624
127 127 132 76 0.000847 0.00626
128 128 101 76 0.001591 0.011116
129 129 124 103 0.003141 0.021591
130 130 125 110 0.004545 0.03157
131 131 103 83 0.001446 0.009917
132 132 104 94 0.003822 0.026674
133 133 111 79 0.007769 0.041281
134 134 88 77 0.004463 0.030413
135 135 116 107 0.005888 0.035062
136 136 108 98 0.003161 0.023409
137 137 115 78 0.001839 0.012603
138 138 106 87 0.001715 0.009607
139 139 97 78 0.003409 0.024421
140 140 116 77 0.001839 0.012603
141 141 82 96 0.005702 0.041488
142 142 123 117 0.004587 0.024628
143 143 123 109 0.002149 0.013327
144 144 99 70 0.000785 0.004876
145 145 100 69 0.000785 0.004876
146 146 92 126 0.002413 0.027544
147 147 81 126 0.002131 0.024319
148 148 121 114 0.000913 0.0104
149 149 122 120 0.003119 0.035631
150 150 114 127 0.000919 0.010512
151 151 172 155 0.01545 0.073349
152 152 173 154 0.01545 0.073349
153 153 175 154 0.01457 0.07955
154 154 176 155 0.01457 0.07955
155 155 175 143 0.006031 0.04401
156 156 164 139 0.011031 0.08057
157 157 136 154 0.005831 0.04231
158 158 169 172 0.01849 0.095599
159 159 151 173 0.010581 0.053
160 160 153 155 0.012521 0.091359
161 161 135 136 0.00506 0.036539
162 162 147 142 0.01043 0.077891
163 163 152 180 0.007702 0.056917
164 164 152 179 0.002256 0.016674
165 165 174 146 0.009147 0.089554
166 166 174 168 0.00244 0.01318
167 167 168 139 0.00355 0.02593
168 168 169 166 0.01312 0.076219
169 169 168 151 0.009341 0.05225
170 170 145 134 0.006141 0.032521
171 171 146 133 0.00438 0.03188
172 172 163 146 0.000479 0.00331
173 173 164 145 0.000479 0.00331
174 174 153 142 0.010539 0.076859
175 175 158 147 0.00469 0.034651
176 176 148 140 0.006469 0.0413
177 177 167 140 0.00105 0.007211
178 178 167 158 0.006099 0.044831
179 179 175 135 0.002211 0.01655
180 180 177 176 0.005169 0.036979
181 181 180 172 0.002401 0.017789
182 182 156 137 0.00274 0.02696
183 183 162 138 0.0017 0.01733
184 184 160 161 0.00136 0.01574
185 185 170 150 0.00371 0.04326
