#branch_name branch_num bus_from bus_to r(pu)       x(pu)
1 1 7 8 0.00064 0.0305
2 2 26 28 0.00036 0.02519
3 3 27 29 0.00036 0.02519
4 4 39 41 0.00034 0.02097
5 5 42 45 0.00034 0.02097
6 6 54 56 0.00081 0.03
7 7 63 65 0.00015 0.01071
8 8 64 65 0.00015 0.01071
9 9 90 92 0.00075 0.02444
10 10 91 93 0.00075 0.02469
11 11 125 128 0.0005 0.02875
12 12 149 150 0.00064 0.0305
13 13 155 157 0.000232 0.023
14 14 156 158 0.000232 0.023
15 15 169 171 0.00035 0.02375
16 16 183 184 0.00059 0.030919
17 17 190 192 0.0004 0.03
18 18 2727 157 0.00031 0.00338
19 19 2727 158 0.00031 0.00338
20 20 2728 68 0.014341 0.083531
21 21 2726 76 0.01219 0.070659
22 22 2726 105 0.011781 0.07087
23 23 127 2725 0.001525 0.016837
24 24 2729 148 0.001651 0.015909
25 25 2729 149 0.001651 0.015909
26 26 2730 47 0.00188 0.02287
27 27 2730 48 0.00188 0.02287
28 28 82 2724 0.002769 0.031162
29 29 42 23 0.01345 0.081141
30 30 26 90 0.009091 0.062401
31 31 27 91 0.00868 0.06405
32 32 146 30 0.016961 0.123659
33 33 135 33 0.00512 0.02618
34 34 134 20 0.01068 0.061961
35 35 164 21 0.014651 0.105891
36 36 40 109 0.01488 0.08161
37 37 39 91 0.011159 0.07231
38 38 178 83 0.005517 0.059484
39 39 203 165 0.01176 0.068289
40 40 194 165 0.016818 0.089091
41 41 193 164 0.013843 0.087025
42 42 207 167 0.01676 0.097169
43 43 42 10 0.01269 0.074979
44 44 198 18 0.014091 0.10413
45 45 100 54 0.003719 0.0438
46 46 162 82 0.00194 0.02056
47 47 44 9 0.0015 0.01506
48 48 185 150 0.00294 0.03463
49 49 121 56 0.00169 0.01994
50 50 29 93 0.00137 0.01625
51 51 28 123 0.00231 0.02769
52 52 25 192 0.00207 0.02474
53 53 120 63 0.0015 0.01788
54 54 122 63 0.00469 0.05544
55 55 82 31 0.00331 0.03425
56 56 92 28 0.00219 0.02369
57 57 12 4 0.01674 0.09711
58 58 30 11 0.0057 0.0407
59 59 24 4 0.004419 0.032229
60 60 17 7 0.014591 0.11219
61 61 21 10 0.01211 0.087419
62 62 26 5 0.009773 0.050516
63 63 17 3 0.01068 0.07895
64 64 26 19 0.0057 0.039521
65 65 27 20 0.0057 0.039521
66 66 13 6 0.00525 0.03988
67 67 13 12 2.1e-05 0.000207
68 68 32 13 0.00093 0.00651
69 69 23 11 0.00205 0.01326
70 70 33 5 0.007831 0.043
71 71 19 4 0.00293 0.01599
72 72 26 1 0.00155 0.01169
73 73 27 2 0.00155 0.01169
74 74 27 24 0.003841 0.028531
75 75 25 9 0.00298 0.03418
76 76 28 25 0.00358 0.04262
77 77 14 29 0.00336 0.03977
78 78 8 15 0.00299 0.03675
79 79 8 14 0.00112 0.01329
80 80 31 29 0.00075 0.009
81 81 62 58 0.010479 0.060969
82 82 60 55 0.00882 0.065641
83 83 67 34 0.011219 0.065581
84 84 50 34 0.01163 0.07031
85 85 58 42 0.00545 0.040211
86 86 59 43 0.00545 0.040211
87 87 59 34 0.00837 0.04868
88 88 68 51 0.003159 0.02076
89 89 51 38 0.006979 0.051961
90 90 36 55 0.00374 0.027831
91 91 37 35 0.00769 0.057271
92 92 54 37 0.00556 0.04145
93 93 67 36 0.004521 0.03368
94 94 67 66 0.00151 0.008781
95 95 61 42 0.00574 0.042831
96 96 62 43 0.00707 0.045409
97 97 61 39 0.01213 0.062151
98 98 60 40 0.002479 0.017979
99 99 46 39 0.002401 0.01494
100 100 49 45 0.00167 0.0189
101 101 57 53 0.00109 0.01277
102 102 41 57 0.002259 0.026439
103 103 63 57 0.00094 0.01097
104 104 47 64 0.00113 0.01406
105 105 52 44 0.00176 0.02144
106 106 96 125 0.004876 0.033616
107 107 75 106 0.01093 0.059194
108 108 106 94 0.001942 0.013926
109 109 79 85 0.004318 0.029752
110 110 131 130 0.000661 0.004959
111 111 107 131 0.005372 0.040393
112 112 91 131 0.000826 0.005248
113 113 100 119 0.015888 0.087603
114 114 81 113 0.002169 0.014587
115 115 116 101 0.017727 0.116777
116 116 126 74 0.00593 0.04093
117 117 108 90 0.003905 0.028471
118 118 118 79 0.008161 0.042417
119 119 119 78 0.008161 0.042417
120 120 79 76 0.005186 0.038388
121 121 78 73 0.002128 0.014029
122 122 114 78 0.004628 0.027748
123 123 103 72 0.011219 0.070744
124 124 110 117 0.006012 0.041467
125 125 91 69 0.002066 0.012789
126 126 86 90 0.001364 0.009731
127 127 129 87 0.000579 0.004112
128 128 132 76 0.000847 0.00624
129 129 133 77 0.000847 0.00626
130 130 102 77 0.001591 0.011116
131 131 125 104 0.003141 0.021591
132 132 126 111 0.004545 0.03157
133 133 104 84 0.001446 0.009917
134 134 105 95 0.003822 0.026674
135 135 112 80 0.007769 0.041281
136 136 89 78 0.004463 0.030413
137 137 117 108 0.005888 0.035062
138 138 109 99 0.003161 0.023409
139 139 116 79 0.001839 0.012603
140 140 107 88 0.001715 0.009607
141 141 98 79 0.003409 0.024421
142 142 117 78 0.001839 0.012603
143 143 83 97 0.005702 0.041488
144 144 124 118 0.004587 0.024628
145 145 124 110 0.002149 0.013327
146 146 100 71 0.000785 0.004876
147 147 101 70 0.000785 0.004876
148 148 93 127 0.002413 0.027544
149 149 82 127 0.002131 0.024319
150 150 122 115 0.000913 0.0104
151 151 123 121 0.003119 0.035631
152 152 115 128 0.000919 0.010512
153 153 173 156 0.01545 0.073349
154 154 174 155 0.01545 0.073349
155 155 176 155 0.01457 0.07955
156 156 177 156 0.01457 0.07955
157 157 176 144 0.006031 0.04401
158 158 165 140 0.011031 0.08057
159 159 137 155 0.005831 0.04231
160 160 170 173 0.01849 0.095599
161 161 152 174 0.010581 0.053
162 162 154 156 0.012521 0.091359
163 163 136 137 0.00506 0.036539
164 164 148 143 0.01043 0.077891
165 165 153 181 0.007702 0.056917
166 166 153 180 0.002256 0.016674
167 167 175 147 0.009147 0.089554
168 168 175 169 0.00244 0.01318
169 169 169 140 0.00355 0.02593
170 170 170 167 0.01312 0.076219
171 171 169 152 0.009341 0.05225
172 172 146 135 0.006141 0.032521
173 173 147 134 0.00438 0.03188
174 174 164 147 0.000479 0.00331
175 175 165 146 0.000479 0.00331
176 176 154 143 0.010539 0.076859
177 177 159 148 0.00469 0.034651
178 178 149 141 0.006469 0.0413
179 179 168 141 0.00105 0.007211
180 180 168 159 0.006099 0.044831
181 181 176 136 0.002211 0.01655
182 182 178 177 0.005169 0.036979
183 183 181 173 0.002401 0.017789
184 184 157 138 0.00274 0.02696
185 185 163 139 0.0017 0.01733
