#bus_name bus_num cc
37 37 0
9001 9001 0
9005 9005 0
9006 9006 0
9012 9012 0
9051 9051 0
9052 9052 0
9053 9053 0
9054 9054 0
9055 9055 0
9007 9007 0
9003 9003 0
9002 9002 0
9021 9021 0
9023 9023 0
9022 9022 0
9024 9024 0
9025 9025 0
9026 9026 0
9071 9071 0
9072 9072 0
9031 9031 0
9032 9032 0
9033 9033 0
9044 9044 0
9004 9004 0
9041 9041 0
9042 9042 0
9043 9043 0
9034 9034 0
9035 9035 0
9036 9036 0
9037 9037 0
9038 9038 0
9121 9121 0
9533 9533 0
1 1 0
5 5 0
2 2 0
6 6 0
8 8 0
3 3 0
7 7 0
19 19 0
150 150 0
4 4 0
16 16 0
9 9 0
12 12 0
131 131 0
11 11 0
14 14 0
13 13 0
21 21 0
20 20 0
15 15 0
89 89 0
90 90 0
42 42 0
87 87 0
22 22 0
27 27 0
24 24 0
23 23 0
25 25 0
319 319 0
26 26 0
320 320 0
33 33 0
34 34 0
38 38 0
40 40 0
41 41 0
35 35 0
72 72 0
76 76 0
77 77 0
36 36 0
88 88 0
49 49 0
43 43 0
39 39 0
48 48 0
51 51 0
46 46 0
44 44 0
53 53 0
47 47 0
54 54 0
45 45 0
60 60 0
74 74 0
81 81 0
73 73 0
113 113 0
107 107 0
52 52 0
55 55 0
57 57 0
58 58 0
63 63 0
59 59 0
61 61 0
62 62 0
64 64 0
144 144 0
526 526 0
69 69 0
211 211 0
79 79 0
70 70 0
71 71 0
528 528 0
531 531 0
562 562 0
78 78 0
80 80 0
552 552 0
609 609 0
84 84 0
194 194 0
195 195 0
85 85 0
86 86 0
323 323 0
91 91 0
92 92 0
94 94 0
97 97 0
103 103 0
105 105 0
100 100 0
102 102 0
98 98 0
99 99 0
108 108 0
109 109 0
110 110 0
104 104 0
322 322 0
324 324 0
114 114 0
112 112 0
115 115 0
122 122 0
116 116 0
120 120 0
117 117 0
118 118 0
119 119 0
1201 1201 0
121 121 0
123 123 0
125 125 0
124 124 0
126 126 0
127 127 0
129 129 0
132 132 0
157 157 0
158 158 0
169 169 0
128 128 0
134 134 0
168 168 0
130 130 0
133 133 0
151 151 0
167 167 0
137 137 0
171 171 0
135 135 0
184 184 0
136 136 0
152 152 0
140 140 0
181 181 0
186 186 0
188 188 0
139 139 0
172 172 0
141 141 0
142 142 0
145 145 0
146 146 0
147 147 0
182 182 0
143 143 0
149 149 0
148 148 0
178 178 0
179 179 0
153 153 0
161 161 0
154 154 0
156 156 0
183 183 0
155 155 0
159 159 0
160 160 0
162 162 0
164 164 0
165 165 0
163 163 0
166 166 0
173 173 0
174 174 0
175 175 0
176 176 0
177 177 0
180 180 0
138 138 0
187 187 0
185 185 0
189 189 0
208 208 0
209 209 0
190 190 0
231 231 0
240 240 0
191 191 0
192 192 0
225 225 0
193 193 0
205 205 0
219 219 0
664 664 0
196 196 0
197 197 0
210 210 0
198 198 0
202 202 0
203 203 0
199 199 0
200 200 0
201 201 0
204 204 0
206 206 0
207 207 0
212 212 0
215 215 0
213 213 0
214 214 0
242 242 0
216 216 0
217 217 0
218 218 0
220 220 0
237 237 0
221 221 0
238 238 0
223 223 0
222 222 0
224 224 0
226 226 0
227 227 0
228 228 0
229 229 0
234 234 0
232 232 0
233 233 0
235 235 0
241 241 0
281 281 0
245 245 0
247 247 0
243 243 0
244 244 0
246 246 0
248 248 0
249 249 0
250 250 0
10 10 0
17 17 0
170 170 0
2040 2040 0
230 230 0
236 236 0
239 239 0
1190 1190 0
1200 1200 0
7002 7002 0
7003 7003 0
7061 7061 0
7062 7062 0
7166 7166 0
7024 7024 0
7001 7001 0
7130 7130 0
7011 7011 0
7023 7023 0
7049 7049 0
7139 7139 0
7012 7012 0
7017 7017 0
7039 7039 0
7057 7057 0
7044 7044 0
7055 7055 0
7071 7071 0
