#branch_name branch_num bus_from bus_to r(pu)       x(pu)
1 1 4644 1 0.005726 0.010482
2 2 5243 1 0.01284 0.025679
3 3 1682 2 0.005799 0.010615
4 4 1673 3 0.134039 0.309398
5 5 2302 3 0.049131 0.133283
6 6 694 4 0.025926 0.109136
7 7 3940 4 0.05 0.126914
8 8 5043 4 0.02321 0.097407
9 9 4414 5 0.040564 0.113631
10 10 2780 6 0.006047 0.020912
11 11 2781 7 0.012472 0.032099
12 12 2468 8 0.002607 0.017462
13 13 471 9 0.053893 0.14258
14 14 11 10 0.000247 0.001235
15 15 11 10 0.000247 0.001235
16 16 30 11 0.039753 0.100988
17 17 2930 11 0.037654 0.096173
18 18 2180 12 0.014613 0.060721
19 19 4018 12 0.034064 0.121139
20 20 4020 12 0.000242 0.000442
21 21 115 13 2.1e-05 0.000125
22 22 2336 13 0.000145 0.001877
23 23 4574 13 0.000319 0.003234
24 24 116 13 2.1e-05 0.000125
25 25 1224 14 0.04 0.134198
26 26 2875 14 0.012222 0.052346
27 27 4592 14 0.007284 0.045432
28 28 4950 14 0.059963 0.154222
29 29 5229 14 0.018025 0.110988
30 30 2875 14 0.012222 0.052593
31 31 4592 14 0.007284 0.044938
32 32 2907 15 0.037541 0.100529
33 33 4126 15 0.090199 0.211388
34 34 4454 15 0.09801 0.267574
35 35 251 16 0.071806 0.191484
36 36 339 16 0.119174 0.284958
37 37 5835 17 0.022346 0.061111
38 38 3728 18 0.009383 0.019753
39 39 5091 19 0.000252 0.000504
40 40 3728 20 0.001975 0.004444
41 41 1353 21 0.036296 0.099012
42 42 1598 21 0.032716 0.089136
43 43 1842 22 0.138574 0.351474
44 44 5020 22 0.094407 0.210456
45 45 1156 23 0.047115 0.117158
46 46 2705 23 0.039557 0.120937
47 47 3425 23 0.022676 0.062484
48 48 144 24 0.064568 0.16716
49 49 1281 24 0.048605 0.128481
50 50 491 25 0.004815 0.02963
51 51 2092 25 0.007309 0.04463
52 52 611 26 0.034321 0.145802
53 53 1865 26 0.004815 0.009753
54 54 2604 26 0.049012 0.133704
55 55 2923 26 0.04642 0.126543
56 56 3339 26 0.046296 0.125926
57 57 4629 26 0.053704 0.136753
58 58 2923 26 0.03358 0.120988
59 59 534 27 0.006163 0.041067
60 60 2349 27 0.000652 0.004369
61 61 2686 28 0.050945 0.131922
62 62 3893 28 0.058781 0.149005
63 63 2888 29 0.067019 0.137566
64 64 3321 29 0.032754 0.088939
65 65 3321 29 0.030184 0.080096
66 66 144 30 0.066049 0.187778
67 67 1553 30 0.065062 0.133704
68 68 4836 30 0.041728 0.106049
69 69 150 31 0.009574 0.03875
70 70 3162 31 0.000171 0.000313
71 71 3693 31 0.034266 0.09423
72 72 4740 31 0.006803 0.028219
73 73 150 31 0.008566 0.037541
74 74 3730 32 0.009733 0.034089
75 75 368 34 0.000277 0.002015
76 76 1016 33 0.00881 0.033995
77 77 1157 33 0.004642 0.019832
