#bus_name bus_num cc
3097 3097 0
659 659 0
9024 9024 0
4929 4929 0
1815 1815 0
6542 6542 0
1445 1445 0
6069 6069 0
6833 6833 0
2268 2268 0
7180 7180 0
6293 6293 0
1968 1968 0
9192 9192 0
3493 3493 0
955 955 0
228 228 0
6826 6826 0
8964 8964 0
5776 5776 0
8574 8574 0
1616 1616 0
1163 1163 0
9064 9064 0
8921 8921 0
2299 2299 0
4423 4423 0
7563 7563 0
4427 4427 0
8335 8335 0
5155 5155 0
271 271 0
2449 2449 0
4665 4665 0
4495 4495 0
5587 5587 0
4586 4586 0
2870 2870 0
1037 1037 0
5210 5210 0
7762 7762 0
2520 2520 0
89 89 0
1317 1317 0
8605 8605 0
1367 1367 0
1676 1676 0
7051 7051 0
913 913 0
2107 2107 0
5996 5996 0
6704 6704 0
2441 2441 0
3506 3506 0
2908 2908 0
8329 8329 0
9239 9239 0
7960 7960 0
6233 6233 0
5416 5416 0
6798 6798 0
792 792 0
3279 3279 0
7279 7279 0
2267 2267 0
7637 7637 0
2168 2168 0
3659 3659 0
5762 5762 0
3242 3242 0
5097 5097 0
1611 1611 0
8181 8181 0
8179 8179 0
9025 9025 0
5509 5509 0
4014 4014 0
1579 1579 0
1531 1531 0
5848 5848 0
8847 8847 0
8229 8229 0
317 317 0
8420 8420 0
7829 7829 0
8103 8103 0
8581 8581 0
7526 7526 0
2154 2154 0
