#branch_name branch_num bus_from bus_to r(pu)       x(pu)
1 1 5147 3097 0.0006 0.00616
2 2 5147 8763 0.0005 0.0074
3 3 2169 3124 0.00107 0.00626
4 4 2169 3234 0.000841 0.0055
5 5 3517 711 0.00143 0.01563
6 6 3517 4533 0.00146 0.01692
7 7 427 5425 7e-05 0.00057
8 8 427 4704 6e-05 0.00056
9 9 5960 7431 0.003349 0.01656
10 10 5960 3186 0.003409 0.016211
11 11 4481 7431 0.003479 0.01586
12 12 4481 3186 0.003099 0.017969
13 13 531 9203 0.00127 0.01842
14 14 531 835 0.00126 0.01847
15 15 1656 118 0.0013 0.01808
16 16 1656 3449 0.00131 0.01765
17 17 5084 1809 0.00065 0.01311
18 18 5084 6398 0.00067 0.00974
19 19 5205 7833 0.00236 0.01418
20 20 5205 7770 0.002169 0.015909
21 21 354 1278 0.00027 0.00254
22 22 354 7617 0.00027 0.00259
23 23 2611 1278 0.00033 0.00302
24 24 2611 905 0.00029 0.00312
25 25 1842 6542 0.000289 0.00137
26 26 1842 7622 0.000219 0.00263
27 27 2134 6542 0.000289 0.001341
28 28 2134 8785 0.000229 0.00257
29 29 6613 6542 0.000841 0.00689
30 30 6613 1651 0.000979 0.00586
31 31 5773 6542 0.00014 0.0012
32 32 5773 7840 0.000211 0.001539
33 33 5214 6542 0.000401 0.004901
34 34 5214 7840 0.000219 0.00151
35 35 8072 6542 0.000729 0.004539
36 36 8072 2759 0.00062 0.00482
37 37 2971 6069 0.00052 0.00407
38 38 2971 3445 0.00034 0.00502
39 39 7561 6069 0.00065 0.00698
40 40 7561 8825 0.00059 0.00806
41 41 6748 8864 0.00063 0.00464
42 42 6748 5078 0.000599 0.005099
43 43 4956 4785 0.00064 0.00307
44 44 4956 7667 0.000659 0.003
45 45 8619 6775 0.00053 0.00528
46 46 8619 8195 0.00056 0.0053
47 47 3107 4785 0.0018 0.007919
48 48 3107 7154 0.001651 0.00862
49 49 5437 6775 0.00045 0.00545
50 50 5437 905 0.00052 0.00476
51 51 2282 6876 0.01286 0.037421
52 52 2282 5654 0.032397 0.123
53 53 474 6876 0.032851 0.069727
54 54 474 8045 0.059942 0.112802
55 55 7917 7472 0.00011 0.00109
56 56 7917 8899 0.00011 0.00107
57 57 6225 7681 0.000461 0.00395
58 58 6225 1508 0.000599 0.003789
59 59 7118 6568 0.00173 0.01542
60 60 7118 4346 0.00166 0.02083
61 61 3469 8850 0.006314 0.018488
62 62 3469 1997 0.015727 0.037669
63 63 7556 7058 0.00374 0.02095
64 64 7556 4324 0.00511 0.019461
65 65 1069 2867 0.011281 0.050771
66 66 1069 2588 0.0115 0.049719
67 67 3945 2867 0.011719 0.048659
68 68 3945 2588 0.01193 0.047599
69 69 132 2962 0.00064 0.00715
70 70 132 4393 0.00089 0.00712
71 71 5044 693 0.00048 0.00555
72 72 5044 7860 0.00047 0.00566
73 73 6883 693 0.00046 0.00524
74 74 6883 7860 0.00052 0.00514
75 75 1456 4503 0.00438 0.010686
76 76 1456 6658 0.031347 0.062653
77 77 6494 4945 0.00029 0.00298
78 78 6494 6080 0.0003 0.00291
79 79 1384 9010 0.00155 0.01529
80 80 1384 3146 0.00148 0.0152
81 81 8697 8142 0.000169 0.00096
82 82 8697 6195 0.000182 0.000942
83 83 5665 424 0.00016 0.00184
84 84 5665 7235 0.00022 0.00287
85 85 3852 6497 0.00015 0.00187
86 86 3852 4779 0.00022 0.00266
87 87 674 8885 0.00138 0.0174
88 88 674 3115 0.00272 0.0288
89 89 8126 5177 0.00065 0.01024
90 90 8126 6007 0.00073 0.01004
91 91 8935 5177 0.00075 0.00983
92 92 8935 6007 0.00076 0.00963
93 93 7146 7388 0.00042 0.02666
94 94 4003 8855 0.00029 0.0026
95 95 4003 5781 0.00022 0.00303
96 96 6996 3761 0.001 0.006159
97 97 6996 9108 0.00113 0.00657
98 98 1212 8258 0.0013 0.01277
99 99 1212 7330 0.00163 0.01808
100 100 8644 106 0.00047 0.00406
101 101 8644 5883 0.00235 0.02343
102 102 97 6413 0.00036 0.00445
103 103 97 1644 0.00017 0.0025
104 104 4379 6413 0.00036 0.00436
105 105 4379 3483 0.00017 0.00255
106 106 1885 3208 0.00096 0.00995
107 107 1885 6790 0.00152 0.01949
108 108 5314 3208 0.00094 0.01014
109 109 5314 6790 0.00149 0.01986
110 110 2885 3208 0.00107 0.01243
111 111 2885 2585 0.00102 0.01034
112 112 3717 4848 0.0047 0.02061
113 113 3717 3688 0.00739 0.040531
114 114 6064 8640 0.00049 0.00611
115 115 6064 7330 0.00035 0.00431
116 116 5377 1029 0.00261 0.01344
117 117 5377 3525 0.003521 0.019591
118 118 6870 3431 0.0025 0.01419
119 119 6870 5046 0.00287 0.0237
120 120 6693 6743 0.00088 0.00956
121 121 6693 287 0.00095 0.00877
122 122 2053 752 0.00332 0.020651
123 123 2053 3048 0.003969 0.018781
124 124 2893 2738 0.002849 0.014909
125 125 2893 1575 0.00439 0.02451
126 126 1524 8687 0.0002 0.0018
127 127 1524 8393 0.00025 0.00261
128 128 7369 8687 0.0002 0.00176
129 129 7369 139 0.00025 0.00255
130 130 1019 6176 0.012488 0.047413
131 131 1019 7177 0.010479 0.027711
132 132 2607 7458 0.00044 0.00428
133 133 2607 1337 0.00036 0.00475
134 134 4735 5239 0.00058 0.00534
135 135 4735 3145 0.00054 0.00589
136 136 2941 1429 0.00206 0.02057
137 137 2941 1542 0.00077 0.00872
138 138 3773 9183 0.00161 0.01963
139 139 3773 1542 0.00075 0.00888
140 140 1937 7261 0.00016 0.00152
141 141 1937 5479 0.00019 0.00163
142 142 5473 7261 0.00015 0.0016
143 143 5473 5479 0.00015 0.00183
144 144 3648 3290 0.00121 0.01426
145 145 3648 5523 0.00116 0.01456
146 146 451 144 0.00068 0.00727
147 147 451 1601 0.0007 0.00734
148 148 7898 144 0.00076 0.00712
149 149 7898 1601 0.0008 0.00719
150 150 2105 1582 0.0002 0.0022
151 151 2105 7416 0.0002 0.0022
152 152 270 2046 0.000205 0.00215
153 153 270 7416 0.000205 0.00215
154 154 5938 8433 0.00053 0.00589
155 155 5938 816 0.00046 0.00675
156 156 8539 8433 0.00054 0.00577
157 157 8539 816 0.00045 0.00625
158 158 1654 1544 0.00275 0.02752
159 159 1654 7674 0.00184 0.01515
160 160 2323 4150 0.00438 0.02432
161 161 2323 599 0.0043 0.01949
162 162 8376 6999 0.00033 0.00269
163 163 8376 4903 0.00243 0.01904
164 164 942 6999 0.00034 0.00263
165 165 942 4903 0.00248 0.01864
166 166 6754 6190 0.00122 0.01249
167 167 6754 4055 0.00106 0.01031
168 168 3313 6190 0.00119 0.01273
169 169 3313 4055 0.00108 0.01009
170 170 1383 4401 0.001039 0.013711
171 171 1383 5145 0.00114 0.011409
172 172 7851 5878 0.001021 0.013969
173 173 7851 5145 0.001169 0.011159
174 174 8001 8201 0 0.000271
175 175 2322 8201 0 0.000271
176 176 843 154 0.009372 0.035702
177 177 843 3598 0.029157 0.103686
178 178 529 5527 0.00065 0.00673
179 179 529 4164 0.00066 0.00658
180 180 3529 2487 0.000969 0.006021
181 181 3529 4167 0.00099 0.005901
182 182 1162 8598 0.00088 0.006599
183 183 1162 5325 0.00086 0.006729
184 184 8690 3277 9e-05 0.00077
