#                ech   decider                     name                  ts  scenario value  firmness
 2015-01-01T07:00:00    market                       TH 2015-01-01T11:00:00        S1    ON      FREE
 2015-01-01T07:00:00    market                       TH 2015-01-01T11:00:00        S2    ON      FREE
 2015-01-01T07:00:00    market                       TH 2015-01-01T11:00:00        S3    ON      FREE
 2015-01-01T07:00:00    market                       TH 2015-01-01T11:15:00        S1    ON      FREE
 2015-01-01T07:00:00    market                       TH 2015-01-01T11:15:00        S2    ON      FREE
 2015-01-01T07:00:00    market                       TH 2015-01-01T11:15:00        S3    ON      FREE
 2015-01-01T07:00:00    market                       TH 2015-01-01T11:30:00        S1    ON      FREE
 2015-01-01T07:00:00    market                       TH 2015-01-01T11:30:00        S2    ON      FREE
 2015-01-01T07:00:00    market                       TH 2015-01-01T11:30:00        S3    ON      FREE
 2015-01-01T07:00:00    market                       TH 2015-01-01T11:45:00        S1    ON      FREE
 2015-01-01T07:00:00    market                       TH 2015-01-01T11:45:00        S2    ON      FREE
 2015-01-01T07:00:00    market                       TH 2015-01-01T11:45:00        S3    ON      FREE
 2015-01-01T10:45:00    market                       TH 2015-01-01T11:00:00        S1    ON      FREE
 2015-01-01T10:45:00    market                       TH 2015-01-01T11:00:00        S2    ON      FREE
 2015-01-01T10:45:00    market                       TH 2015-01-01T11:00:00        S3    ON      FREE
 2015-01-01T10:45:00    market                       TH 2015-01-01T11:15:00        S1    ON      FREE
 2015-01-01T10:45:00    market                       TH 2015-01-01T11:15:00        S2    ON      FREE
 2015-01-01T10:45:00    market                       TH 2015-01-01T11:15:00        S3    ON      FREE
 2015-01-01T10:45:00    market                       TH 2015-01-01T11:30:00        S1    ON      FREE
 2015-01-01T10:45:00    market                       TH 2015-01-01T11:30:00        S2    ON      FREE
 2015-01-01T10:45:00    market                       TH 2015-01-01T11:30:00        S3    ON      FREE
 2015-01-01T10:45:00    market                       TH 2015-01-01T11:45:00        S1    ON      FREE
 2015-01-01T10:45:00    market                       TH 2015-01-01T11:45:00        S2    ON      FREE
 2015-01-01T10:45:00    market                       TH 2015-01-01T11:45:00        S3    ON      FREE
 2015-01-01T11:00:00    market                       TH 2015-01-01T11:00:00        S1    ON      FIRM
 2015-01-01T11:00:00    market                       TH 2015-01-01T11:00:00        S2    ON      FIRM
 2015-01-01T11:00:00    market                       TH 2015-01-01T11:00:00        S3    ON      FIRM
 2015-01-01T11:00:00    market                       TH 2015-01-01T11:15:00        S1    ON      FIRM
 2015-01-01T11:00:00    market                       TH 2015-01-01T11:15:00        S2    ON      FIRM
 2015-01-01T11:00:00    market                       TH 2015-01-01T11:15:00        S3    ON      FIRM
 2015-01-01T11:00:00    market                       TH 2015-01-01T11:30:00        S1    ON      FIRM
 2015-01-01T11:00:00    market                       TH 2015-01-01T11:30:00        S2    ON      FIRM
 2015-01-01T11:00:00    market                       TH 2015-01-01T11:30:00        S3    ON      FIRM
 2015-01-01T11:00:00    market                       TH 2015-01-01T11:45:00        S1    ON      FIRM
 2015-01-01T11:00:00    market                       TH 2015-01-01T11:45:00        S2    ON      FIRM
 2015-01-01T11:00:00    market                       TH 2015-01-01T11:45:00        S3    ON      FIRM
