#                ech   decider              branch_name                  ts  scenario           value
 2015-01-01T07:00:00    market                      1_2 2015-01-01T11:00:00        S1  4.99997200E+00
 2015-01-01T07:00:00    market                      1_2 2015-01-01T11:00:00        S2  1.49999640E+01
 2015-01-01T07:00:00    market                      1_2 2015-01-01T11:00:00        S3  2.99999640E+01
 2015-01-01T07:00:00    market                      1_2 2015-01-01T11:15:00        S1  4.99997200E+00
 2015-01-01T07:00:00    market                      1_2 2015-01-01T11:15:00        S2  1.49999640E+01
 2015-01-01T07:00:00    market                      1_2 2015-01-01T11:15:00        S3  2.99999640E+01
 2015-01-01T07:00:00    market                      1_2 2015-01-01T11:30:00        S1  4.99997200E+00
 2015-01-01T07:00:00    market                      1_2 2015-01-01T11:30:00        S2  1.49999640E+01
 2015-01-01T07:00:00    market                      1_2 2015-01-01T11:30:00        S3  2.99999640E+01
 2015-01-01T07:00:00    market                      1_2 2015-01-01T11:45:00        S1  4.99997200E+00
 2015-01-01T07:00:00    market                      1_2 2015-01-01T11:45:00        S2  1.49999640E+01
 2015-01-01T07:00:00    market                      1_2 2015-01-01T11:45:00        S3  2.99999640E+01
 2015-01-01T07:00:00    market                      1_3 2015-01-01T11:00:00        S1  4.49999380E+01
 2015-01-01T07:00:00    market                      1_3 2015-01-01T11:00:00        S2  5.49999260E+01
 2015-01-01T07:00:00    market                      1_3 2015-01-01T11:00:00        S3  4.99999360E+01
 2015-01-01T07:00:00    market                      1_3 2015-01-01T11:15:00        S1  4.49999380E+01
 2015-01-01T07:00:00    market                      1_3 2015-01-01T11:15:00        S2  5.49999260E+01
 2015-01-01T07:00:00    market                      1_3 2015-01-01T11:15:00        S3  4.99999360E+01
 2015-01-01T07:00:00    market                      1_3 2015-01-01T11:30:00        S1  4.49999380E+01
 2015-01-01T07:00:00    market                      1_3 2015-01-01T11:30:00        S2  5.49999260E+01
 2015-01-01T07:00:00    market                      1_3 2015-01-01T11:30:00        S3  4.99999360E+01
 2015-01-01T07:00:00    market                      1_3 2015-01-01T11:45:00        S1  4.49999380E+01
 2015-01-01T07:00:00    market                      1_3 2015-01-01T11:45:00        S2  5.49999260E+01
 2015-01-01T07:00:00    market                      1_3 2015-01-01T11:45:00        S3  4.99999360E+01
 2015-01-01T07:00:00    market                      2_3 2015-01-01T11:00:00        S1  8.49998910E+01
 2015-01-01T07:00:00    market                      2_3 2015-01-01T11:00:00        S2  9.49998730E+01
 2015-01-01T07:00:00    market                      2_3 2015-01-01T11:00:00        S3  6.99998960E+01
 2015-01-01T07:00:00    market                      2_3 2015-01-01T11:15:00        S1  8.49998910E+01
 2015-01-01T07:00:00    market                      2_3 2015-01-01T11:15:00        S2  9.49998730E+01
 2015-01-01T07:00:00    market                      2_3 2015-01-01T11:15:00        S3  6.99998960E+01
 2015-01-01T07:00:00    market                      2_3 2015-01-01T11:30:00        S1  8.49998910E+01
 2015-01-01T07:00:00    market                      2_3 2015-01-01T11:30:00        S2  9.49998730E+01
 2015-01-01T07:00:00    market                      2_3 2015-01-01T11:30:00        S3  6.99998960E+01
 2015-01-01T07:00:00    market                      2_3 2015-01-01T11:45:00        S1  8.49998910E+01
 2015-01-01T07:00:00    market                      2_3 2015-01-01T11:45:00        S2  9.49998730E+01
 2015-01-01T07:00:00    market                      2_3 2015-01-01T11:45:00        S3  6.99998960E+01
 2015-01-01T07:00:00    market                      3_4 2015-01-01T11:00:00        S1 -4.99999500E+01
 2015-01-01T07:00:00    market                      3_4 2015-01-01T11:00:00        S2 -2.99999700E+01
 2015-01-01T07:00:00    market                      3_4 2015-01-01T11:00:00        S3 -5.99999400E+01
 2015-01-01T07:00:00    market                      3_4 2015-01-01T11:15:00        S1 -4.99999500E+01
 2015-01-01T07:00:00    market                      3_4 2015-01-01T11:15:00        S2 -2.99999700E+01
 2015-01-01T07:00:00    market                      3_4 2015-01-01T11:15:00        S3 -5.99999400E+01
 2015-01-01T07:00:00    market                      3_4 2015-01-01T11:30:00        S1 -4.99999500E+01
 2015-01-01T07:00:00    market                      3_4 2015-01-01T11:30:00        S2 -2.99999700E+01
 2015-01-01T07:00:00    market                      3_4 2015-01-01T11:30:00        S3 -5.99999400E+01
 2015-01-01T07:00:00    market                      3_4 2015-01-01T11:45:00        S1 -4.99999500E+01
 2015-01-01T07:00:00    market                      3_4 2015-01-01T11:45:00        S2 -2.99999700E+01
 2015-01-01T07:00:00    market                      3_4 2015-01-01T11:45:00        S3 -5.99999400E+01
 2015-01-01T10:45:00    market                      1_2 2015-01-01T11:00:00        S1  2.49999800E+01
 2015-01-01T10:45:00    market                      1_2 2015-01-01T11:00:00        S2  1.49999880E+01
 2015-01-01T10:45:00    market                      1_2 2015-01-01T11:00:00        S3 -1.20000000E-05
 2015-01-01T10:45:00    market                      1_2 2015-01-01T11:15:00        S1  2.49999800E+01
 2015-01-01T10:45:00    market                      1_2 2015-01-01T11:15:00        S2  1.49999880E+01
 2015-01-01T10:45:00    market                      1_2 2015-01-01T11:15:00        S3 -1.20000000E-05
 2015-01-01T10:45:00    market                      1_2 2015-01-01T11:30:00        S1  2.49999800E+01
 2015-01-01T10:45:00    market                      1_2 2015-01-01T11:30:00        S2  1.49999880E+01
 2015-01-01T10:45:00    market                      1_2 2015-01-01T11:30:00        S3 -1.20000000E-05
 2015-01-01T10:45:00    market                      1_2 2015-01-01T11:45:00        S1  2.49999800E+01
 2015-01-01T10:45:00    market                      1_2 2015-01-01T11:45:00        S2  1.49999880E+01
 2015-01-01T10:45:00    market                      1_2 2015-01-01T11:45:00        S3 -1.20000000E-05
 2015-01-01T10:45:00    market                      1_3 2015-01-01T11:00:00        S1  2.49999700E+01
 2015-01-01T10:45:00    market                      1_3 2015-01-01T11:00:00        S2  1.49999820E+01
 2015-01-01T10:45:00    market                      1_3 2015-01-01T11:00:00        S3  1.99999720E+01
 2015-01-01T10:45:00    market                      1_3 2015-01-01T11:15:00        S1  2.49999700E+01
 2015-01-01T10:45:00    market                      1_3 2015-01-01T11:15:00        S2  1.49999820E+01
 2015-01-01T10:45:00    market                      1_3 2015-01-01T11:15:00        S3  1.99999720E+01
 2015-01-01T10:45:00    market                      1_3 2015-01-01T11:30:00        S1  2.49999700E+01
 2015-01-01T10:45:00    market                      1_3 2015-01-01T11:30:00        S2  1.49999820E+01
 2015-01-01T10:45:00    market                      1_3 2015-01-01T11:30:00        S3  1.99999720E+01
 2015-01-01T10:45:00    market                      1_3 2015-01-01T11:45:00        S1  2.49999700E+01
 2015-01-01T10:45:00    market                      1_3 2015-01-01T11:45:00        S2  1.49999820E+01
 2015-01-01T10:45:00    market                      1_3 2015-01-01T11:45:00        S3  1.99999720E+01
 2015-01-01T10:45:00    market                      2_3 2015-01-01T11:00:00        S1  2.49999550E+01
 2015-01-01T10:45:00    market                      2_3 2015-01-01T11:00:00        S2  1.49999730E+01
 2015-01-01T10:45:00    market                      2_3 2015-01-01T11:00:00        S3  3.99999500E+01
 2015-01-01T10:45:00    market                      2_3 2015-01-01T11:15:00        S1  2.49999550E+01
 2015-01-01T10:45:00    market                      2_3 2015-01-01T11:15:00        S2  1.49999730E+01
 2015-01-01T10:45:00    market                      2_3 2015-01-01T11:15:00        S3  3.99999500E+01
 2015-01-01T10:45:00    market                      2_3 2015-01-01T11:30:00        S1  2.49999550E+01
 2015-01-01T10:45:00    market                      2_3 2015-01-01T11:30:00        S2  1.49999730E+01
 2015-01-01T10:45:00    market                      2_3 2015-01-01T11:30:00        S3  3.99999500E+01
 2015-01-01T10:45:00    market                      2_3 2015-01-01T11:45:00        S1  2.49999550E+01
 2015-01-01T10:45:00    market                      2_3 2015-01-01T11:45:00        S2  1.49999730E+01
 2015-01-01T10:45:00    market                      2_3 2015-01-01T11:45:00        S3  3.99999500E+01
 2015-01-01T10:45:00    market                      3_4 2015-01-01T11:00:00        S1 -8.99999100E+01
 2015-01-01T10:45:00    market                      3_4 2015-01-01T11:00:00        S2 -8.99999100E+01
 2015-01-01T10:45:00    market                      3_4 2015-01-01T11:00:00        S3 -8.99999100E+01
 2015-01-01T10:45:00    market                      3_4 2015-01-01T11:15:00        S1 -8.99999100E+01
 2015-01-01T10:45:00    market                      3_4 2015-01-01T11:15:00        S2 -8.99999100E+01
 2015-01-01T10:45:00    market                      3_4 2015-01-01T11:15:00        S3 -8.99999100E+01
 2015-01-01T10:45:00    market                      3_4 2015-01-01T11:30:00        S1 -8.99999100E+01
 2015-01-01T10:45:00    market                      3_4 2015-01-01T11:30:00        S2 -8.99999100E+01
 2015-01-01T10:45:00    market                      3_4 2015-01-01T11:30:00        S3 -8.99999100E+01
 2015-01-01T10:45:00    market                      3_4 2015-01-01T11:45:00        S1 -8.99999100E+01
 2015-01-01T10:45:00    market                      3_4 2015-01-01T11:45:00        S2 -8.99999100E+01
 2015-01-01T10:45:00    market                      3_4 2015-01-01T11:45:00        S3 -8.99999100E+01
 2015-01-01T11:00:00    market                      1_2 2015-01-01T11:00:00        S1 -1.20000000E-05
 2015-01-01T11:00:00    market                      1_2 2015-01-01T11:00:00        S2 -1.20000000E-05
 2015-01-01T11:00:00    market                      1_2 2015-01-01T11:00:00        S3 -1.20000000E-05
 2015-01-01T11:00:00    market                      1_2 2015-01-01T11:15:00        S1 -1.20000000E-05
 2015-01-01T11:00:00    market                      1_2 2015-01-01T11:15:00        S2 -1.20000000E-05
 2015-01-01T11:00:00    market                      1_2 2015-01-01T11:15:00        S3 -1.20000000E-05
 2015-01-01T11:00:00    market                      1_2 2015-01-01T11:30:00        S1 -1.20000000E-05
 2015-01-01T11:00:00    market                      1_2 2015-01-01T11:30:00        S2 -1.20000000E-05
 2015-01-01T11:00:00    market                      1_2 2015-01-01T11:30:00        S3 -1.20000000E-05
 2015-01-01T11:00:00    market                      1_2 2015-01-01T11:45:00        S1 -1.20000000E-05
 2015-01-01T11:00:00    market                      1_2 2015-01-01T11:45:00        S2 -1.20000000E-05
 2015-01-01T11:00:00    market                      1_2 2015-01-01T11:45:00        S3 -1.20000000E-05
 2015-01-01T11:00:00    market                      1_3 2015-01-01T11:00:00        S1  1.99999720E+01
 2015-01-01T11:00:00    market                      1_3 2015-01-01T11:00:00        S2  1.99999720E+01
 2015-01-01T11:00:00    market                      1_3 2015-01-01T11:00:00        S3  1.99999720E+01
 2015-01-01T11:00:00    market                      1_3 2015-01-01T11:15:00        S1  1.99999720E+01
 2015-01-01T11:00:00    market                      1_3 2015-01-01T11:15:00        S2  1.99999720E+01
 2015-01-01T11:00:00    market                      1_3 2015-01-01T11:15:00        S3  1.99999720E+01
 2015-01-01T11:00:00    market                      1_3 2015-01-01T11:30:00        S1  1.99999720E+01
 2015-01-01T11:00:00    market                      1_3 2015-01-01T11:30:00        S2  1.99999720E+01
 2015-01-01T11:00:00    market                      1_3 2015-01-01T11:30:00        S3  1.99999720E+01
 2015-01-01T11:00:00    market                      1_3 2015-01-01T11:45:00        S1  1.99999720E+01
 2015-01-01T11:00:00    market                      1_3 2015-01-01T11:45:00        S2  1.99999720E+01
 2015-01-01T11:00:00    market                      1_3 2015-01-01T11:45:00        S3  1.99999720E+01
 2015-01-01T11:00:00    market                      2_3 2015-01-01T11:00:00        S1  3.99999500E+01
 2015-01-01T11:00:00    market                      2_3 2015-01-01T11:00:00        S2  3.99999500E+01
 2015-01-01T11:00:00    market                      2_3 2015-01-01T11:00:00        S3  3.99999500E+01
 2015-01-01T11:00:00    market                      2_3 2015-01-01T11:15:00        S1  3.99999500E+01
 2015-01-01T11:00:00    market                      2_3 2015-01-01T11:15:00        S2  3.99999500E+01
 2015-01-01T11:00:00    market                      2_3 2015-01-01T11:15:00        S3  3.99999500E+01
 2015-01-01T11:00:00    market                      2_3 2015-01-01T11:30:00        S1  3.99999500E+01
 2015-01-01T11:00:00    market                      2_3 2015-01-01T11:30:00        S2  3.99999500E+01
 2015-01-01T11:00:00    market                      2_3 2015-01-01T11:30:00        S3  3.99999500E+01
 2015-01-01T11:00:00    market                      2_3 2015-01-01T11:45:00        S1  3.99999500E+01
 2015-01-01T11:00:00    market                      2_3 2015-01-01T11:45:00        S2  3.99999500E+01
 2015-01-01T11:00:00    market                      2_3 2015-01-01T11:45:00        S3  3.99999500E+01
 2015-01-01T11:00:00    market                      3_4 2015-01-01T11:00:00        S1 -8.99999100E+01
 2015-01-01T11:00:00    market                      3_4 2015-01-01T11:00:00        S2 -8.99999100E+01
 2015-01-01T11:00:00    market                      3_4 2015-01-01T11:00:00        S3 -8.99999100E+01
 2015-01-01T11:00:00    market                      3_4 2015-01-01T11:15:00        S1 -8.99999100E+01
 2015-01-01T11:00:00    market                      3_4 2015-01-01T11:15:00        S2 -8.99999100E+01
 2015-01-01T11:00:00    market                      3_4 2015-01-01T11:15:00        S3 -8.99999100E+01
 2015-01-01T11:00:00    market                      3_4 2015-01-01T11:30:00        S1 -8.99999100E+01
 2015-01-01T11:00:00    market                      3_4 2015-01-01T11:30:00        S2 -8.99999100E+01
 2015-01-01T11:00:00    market                      3_4 2015-01-01T11:30:00        S3 -8.99999100E+01
 2015-01-01T11:00:00    market                      3_4 2015-01-01T11:45:00        S1 -8.99999100E+01
 2015-01-01T11:00:00    market                      3_4 2015-01-01T11:45:00        S2 -8.99999100E+01
 2015-01-01T11:00:00    market                      3_4 2015-01-01T11:45:00        S3 -8.99999100E+01
