#                ech   decider                 unit/bus PROD/LOAD                  ts  scenario    inject_value     power_value       load_shed    power_capped    DP_firmness  ON/OFF   DMO_firmness
 2015-01-01T07:00:00  market                    ENR_1      PROD 2015-01-01T11:00:00        S1  5.00000000E+01  5.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_1      PROD 2015-01-01T11:00:00        S2  7.00000000E+01  7.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_1      PROD 2015-01-01T11:00:00        S3  8.00000000E+01  8.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_1      PROD 2015-01-01T11:15:00        S1  5.00000000E+01  5.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_1      PROD 2015-01-01T11:15:00        S2  7.00000000E+01  7.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_1      PROD 2015-01-01T11:15:00        S3  8.00000000E+01  8.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_1      PROD 2015-01-01T11:30:00        S1  5.00000000E+01  5.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_1      PROD 2015-01-01T11:30:00        S2  7.00000000E+01  7.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_1      PROD 2015-01-01T11:30:00        S3  8.00000000E+01  8.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_1      PROD 2015-01-01T11:45:00        S1  5.00000000E+01  5.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_1      PROD 2015-01-01T11:45:00        S2  7.00000000E+01  7.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_1      PROD 2015-01-01T11:45:00        S3  8.00000000E+01  8.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_2      PROD 2015-01-01T11:00:00        S1  8.00000000E+01  8.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_2      PROD 2015-01-01T11:00:00        S2  8.00000000E+01  8.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_2      PROD 2015-01-01T11:00:00        S3  4.00000000E+01  4.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_2      PROD 2015-01-01T11:15:00        S1  8.00000000E+01  8.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_2      PROD 2015-01-01T11:15:00        S2  8.00000000E+01  8.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_2      PROD 2015-01-01T11:15:00        S3  4.00000000E+01  4.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_2      PROD 2015-01-01T11:30:00        S1  8.00000000E+01  8.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_2      PROD 2015-01-01T11:30:00        S2  8.00000000E+01  8.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_2      PROD 2015-01-01T11:30:00        S3  4.00000000E+01  4.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_2      PROD 2015-01-01T11:45:00        S1  8.00000000E+01  8.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_2      PROD 2015-01-01T11:45:00        S2  8.00000000E+01  8.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                    ENR_2      PROD 2015-01-01T11:45:00        S3  4.00000000E+01  4.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T07:00:00  market                       TH      PROD 2015-01-01T11:00:00        S1  5.00000000E+01  5.00000000E+01  0.00000000E+00  0.00000000E+00           FREE      ON           FREE
 2015-01-01T07:00:00  market                       TH      PROD 2015-01-01T11:00:00        S2  3.00000000E+01  3.00000000E+01  0.00000000E+00  0.00000000E+00           FREE      ON           FREE
 2015-01-01T07:00:00  market                       TH      PROD 2015-01-01T11:00:00        S3  6.00000000E+01  6.00000000E+01  0.00000000E+00  0.00000000E+00           FREE      ON           FREE
 2015-01-01T07:00:00  market                       TH      PROD 2015-01-01T11:15:00        S1  5.00000000E+01  5.00000000E+01  0.00000000E+00  0.00000000E+00           FREE      ON           FREE
