#                ech   decider              branch_name                  ts  scenario           value
 2015-01-01T10:45:00       tso                      1_2 2015-01-01T11:00:00        S1  2.49999800E+01
 2015-01-01T10:45:00       tso                      1_2 2015-01-01T11:00:00        S2  1.49999880E+01
 2015-01-01T10:45:00       tso                      1_2 2015-01-01T11:00:00        S3 -1.20000000E-05
 2015-01-01T10:45:00       tso                      1_2 2015-01-01T11:15:00        S1  2.49999800E+01
 2015-01-01T10:45:00       tso                      1_2 2015-01-01T11:15:00        S2  1.49999880E+01
 2015-01-01T10:45:00       tso                      1_2 2015-01-01T11:15:00        S3 -1.20000000E-05
 2015-01-01T10:45:00       tso                      1_2 2015-01-01T11:30:00        S1  2.49999800E+01
 2015-01-01T10:45:00       tso                      1_2 2015-01-01T11:30:00        S2  1.49999880E+01
 2015-01-01T10:45:00       tso                      1_2 2015-01-01T11:30:00        S3 -1.20000000E-05
 2015-01-01T10:45:00       tso                      1_2 2015-01-01T11:45:00        S1  2.49999800E+01
 2015-01-01T10:45:00       tso                      1_2 2015-01-01T11:45:00        S2  1.49999880E+01
 2015-01-01T10:45:00       tso                      1_2 2015-01-01T11:45:00        S3 -1.20000000E-05
 2015-01-01T10:45:00       tso                      1_3 2015-01-01T11:00:00        S1  2.49999700E+01
 2015-01-01T10:45:00       tso                      1_3 2015-01-01T11:00:00        S2  1.49999820E+01
 2015-01-01T10:45:00       tso                      1_3 2015-01-01T11:00:00        S3  1.99999720E+01
 2015-01-01T10:45:00       tso                      1_3 2015-01-01T11:15:00        S1  2.49999700E+01
 2015-01-01T10:45:00       tso                      1_3 2015-01-01T11:15:00        S2  1.49999820E+01
 2015-01-01T10:45:00       tso                      1_3 2015-01-01T11:15:00        S3  1.99999720E+01
 2015-01-01T10:45:00       tso                      1_3 2015-01-01T11:30:00        S1  2.49999700E+01
 2015-01-01T10:45:00       tso                      1_3 2015-01-01T11:30:00        S2  1.49999820E+01
 2015-01-01T10:45:00       tso                      1_3 2015-01-01T11:30:00        S3  1.99999720E+01
 2015-01-01T10:45:00       tso                      1_3 2015-01-01T11:45:00        S1  2.49999700E+01
 2015-01-01T10:45:00       tso                      1_3 2015-01-01T11:45:00        S2  1.49999820E+01
 2015-01-01T10:45:00       tso                      1_3 2015-01-01T11:45:00        S3  1.99999720E+01
 2015-01-01T10:45:00       tso                      2_3 2015-01-01T11:00:00        S1  2.49999550E+01
 2015-01-01T10:45:00       tso                      2_3 2015-01-01T11:00:00        S2  1.49999730E+01
 2015-01-01T10:45:00       tso                      2_3 2015-01-01T11:00:00        S3  3.99999500E+01
 2015-01-01T10:45:00       tso                      2_3 2015-01-01T11:15:00        S1  2.49999550E+01
 2015-01-01T10:45:00       tso                      2_3 2015-01-01T11:15:00        S2  1.49999730E+01
 2015-01-01T10:45:00       tso                      2_3 2015-01-01T11:15:00        S3  3.99999500E+01
 2015-01-01T10:45:00       tso                      2_3 2015-01-01T11:30:00        S1  2.49999550E+01
 2015-01-01T10:45:00       tso                      2_3 2015-01-01T11:30:00        S2  1.49999730E+01
 2015-01-01T10:45:00       tso                      2_3 2015-01-01T11:30:00        S3  3.99999500E+01
 2015-01-01T10:45:00       tso                      2_3 2015-01-01T11:45:00        S1  2.49999550E+01
 2015-01-01T10:45:00       tso                      2_3 2015-01-01T11:45:00        S2  1.49999730E+01
 2015-01-01T10:45:00       tso                      2_3 2015-01-01T11:45:00        S3  3.99999500E+01
 2015-01-01T10:45:00       tso                      3_4 2015-01-01T11:00:00        S1 -8.99999100E+01
 2015-01-01T10:45:00       tso                      3_4 2015-01-01T11:00:00        S2 -8.99999100E+01
 2015-01-01T10:45:00       tso                      3_4 2015-01-01T11:00:00        S3 -8.99999100E+01
 2015-01-01T10:45:00       tso                      3_4 2015-01-01T11:15:00        S1 -8.99999100E+01
 2015-01-01T10:45:00       tso                      3_4 2015-01-01T11:15:00        S2 -8.99999100E+01
 2015-01-01T10:45:00       tso                      3_4 2015-01-01T11:15:00        S3 -8.99999100E+01
 2015-01-01T10:45:00       tso                      3_4 2015-01-01T11:30:00        S1 -8.99999100E+01
 2015-01-01T10:45:00       tso                      3_4 2015-01-01T11:30:00        S2 -8.99999100E+01
 2015-01-01T10:45:00       tso                      3_4 2015-01-01T11:30:00        S3 -8.99999100E+01
 2015-01-01T10:45:00       tso                      3_4 2015-01-01T11:45:00        S1 -8.99999100E+01
 2015-01-01T10:45:00       tso                      3_4 2015-01-01T11:45:00        S2 -8.99999100E+01
 2015-01-01T10:45:00       tso                      3_4 2015-01-01T11:45:00        S3 -8.99999100E+01
