#                ech   decider                 unit/bus PROD/LOAD                  ts  scenario    inject_value     power_value       load_shed    power_capped    DP_firmness  ON/OFF   DMO_firmness
 2015-01-01T10:45:00     tso                    ENR_1      PROD 2015-01-01T11:00:00        S1  5.00000000E+01  5.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_1      PROD 2015-01-01T11:00:00        S2  3.00000000E+01  7.00000000E+01  0.00000000E+00  2.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_1      PROD 2015-01-01T11:00:00        S3  2.00000000E+01  8.00000000E+01  0.00000000E+00  3.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_1      PROD 2015-01-01T11:15:00        S1  5.00000000E+01  5.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_1      PROD 2015-01-01T11:15:00        S2  3.00000000E+01  7.00000000E+01  0.00000000E+00  2.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_1      PROD 2015-01-01T11:15:00        S3  2.00000000E+01  8.00000000E+01  0.00000000E+00  3.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_1      PROD 2015-01-01T11:30:00        S1  5.00000000E+01  5.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_1      PROD 2015-01-01T11:30:00        S2  3.00000000E+01  7.00000000E+01  0.00000000E+00  2.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_1      PROD 2015-01-01T11:30:00        S3  2.00000000E+01  8.00000000E+01  0.00000000E+00  3.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_1      PROD 2015-01-01T11:45:00        S1  5.00000000E+01  5.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_1      PROD 2015-01-01T11:45:00        S2  3.00000000E+01  7.00000000E+01  0.00000000E+00  2.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_1      PROD 2015-01-01T11:45:00        S3  2.00000000E+01  8.00000000E+01  0.00000000E+00  3.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_2      PROD 2015-01-01T11:00:00        S1  0.00000000E+00  8.00000000E+01  0.00000000E+00  4.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_2      PROD 2015-01-01T11:00:00        S2  0.00000000E+00  8.00000000E+01  0.00000000E+00  4.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_2      PROD 2015-01-01T11:00:00        S3  4.00000000E+01  4.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_2      PROD 2015-01-01T11:15:00        S1  0.00000000E+00  8.00000000E+01  0.00000000E+00  4.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_2      PROD 2015-01-01T11:15:00        S2  0.00000000E+00  8.00000000E+01  0.00000000E+00  4.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_2      PROD 2015-01-01T11:15:00        S3  4.00000000E+01  4.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_2      PROD 2015-01-01T11:30:00        S1  0.00000000E+00  8.00000000E+01  0.00000000E+00  4.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_2      PROD 2015-01-01T11:30:00        S2  0.00000000E+00  8.00000000E+01  0.00000000E+00  4.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_2      PROD 2015-01-01T11:30:00        S3  4.00000000E+01  4.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_2      PROD 2015-01-01T11:45:00        S1  0.00000000E+00  8.00000000E+01  0.00000000E+00  4.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_2      PROD 2015-01-01T11:45:00        S2  0.00000000E+00  8.00000000E+01  0.00000000E+00  4.00000000E+01           FREE       X              X
 2015-01-01T10:45:00     tso                    ENR_2      PROD 2015-01-01T11:45:00        S3  4.00000000E+01  4.00000000E+01  0.00000000E+00  0.00000000E+00           FREE       X              X
 2015-01-01T10:45:00     tso                       TH      PROD 2015-01-01T11:00:00        S1  9.00000000E+01  9.00000000E+01  0.00000000E+00  0.00000000E+00           FIRM      ON           FIRM
 2015-01-01T10:45:00     tso                       TH      PROD 2015-01-01T11:00:00        S2  9.00000000E+01  9.00000000E+01  0.00000000E+00  0.00000000E+00           FIRM      ON           FIRM
